midwest,actual,pred
0,0,0.104246563
1,0.5,0.118380302
2,0.2,0.109994572
3,0,0.118159452
4,0.1125,0.115149403
5,0,0.117078848
6,-0.8,0.108591829
7,0,0.119100386
8,0.025,0.110868448
9,0,0.106725155
10,0,0.117311037
11,0,0.118460059
12,0.5,0.106374438
13,0,0.113911979
14,0,0.116364278
15,0.2,0.113372547
16,-0.09,0.115517408
17,0,0.107832986
18,0,0.105961491
19,1,0.117002477
20,0,0.113409503
21,0,0.105688247
22,0.136363636,0.108116543
23,-0.1,0.108860748
24,0,0.119197062
25,0,0.120844811
26,0.6,0.109151335
27,0.25,0.100763299
28,-1,0.110584135
29,0,0.114341276
30,1,0.111740201
31,0,0.115102037
32,0.46,0.113708672
33,0,0.11026566
34,-0.1,0.113750132
35,0,0.116273784
36,0,0.110495036
37,0.0625,0.114846547
38,0,0.112829255
39,0,0.113665769
40,0,0.115546915
41,0.5,0.115559789
42,0.7,0.114897135
43,0,0.110693635
44,0.1,0.109485286
45,0.125,0.112357559
46,0,0.107049031
47,0,0.111964908
48,0.8,0.115803526
49,0.045454545,0.108007412
50,-0.2,0.110544741
51,0,0.114082696
52,0.05,0.106682775
53,0.05,0.112277489
54,0,0.107142375
55,0,0.113911979
56,0,0.109041
57,-0.05,0.103987135
58,1,0.110967975
59,0,0.108136365
60,0,0.11255559
61,0,0.115477383
62,0.05,0.110787765
63,0.285714286,0.107923871
64,-0.05,0.118304182
65,0,0.102232874
66,0.85,0.109754131
67,0,0.113703994
68,0,0.107600564
69,0.5,0.110985194
70,0,0.101584311
71,0.5,0.109304799
72,0.05,0.107600564
73,-0.5,0.105435162
74,1,0.109612653
75,-0.75,0.112385913
76,0,0.111234092
77,0,0.109364523
78,0.309090909,0.111810318
79,0.328571429,0.113951371
80,0.8,0.114249883
81,0.111111111,0.108639342
82,1,0.102839594
83,0,0.114142696
84,0.4,0.113282264
85,0,0.116538874
86,0.5,0.099532085
87,-0.2,0.099172212
88,-0.435,0.109731247
89,0,0.102573261
90,0.25,0.108222562
91,-0.083333333,0.115726374
92,0.116666667,0.114301968
93,0,0.108875996
94,-0.65,0.115054556
95,0,0.109886013
96,0.6,0.111595329
97,0.333333333,0.115686449
98,0.208333333,0.106342551
99,-0.3,0.102573261
100,0.05,0.111680698
101,0.4,0.11837405
102,0.068181818,0.106682775
103,0,0.114422934
104,0.625,0.11043874
105,0,0.106703581
106,0,0.113187698
107,0,0.117211452
108,-0.05,0.112277489
109,0.380555556,0.111535306
110,0,0.109696374
111,-0.366832386,0.105984393
112,0,0.109586733
113,0.25,0.11504649
114,0.8,0.104596841
115,0.375,0.112444438
116,0,0.108301626
117,0,0.104238929
118,0.25,0.098763448
119,0.5,0.102880768
120,0,0.119356459
121,0.3,0.101799066
122,0.285714286,0.101667139
123,0,0.117728863
124,0.4,0.114111902
125,-0.15,0.11277427
126,-0.1875,0.115167901
127,0.305555556,0.106093336
128,0,0.112497566
129,0.4,0.104346014
130,0,0.117246875
131,-0.2,0.106611699
132,0,0.110231536
133,0.375,0.103317992
134,0,0.11098677
135,0.25,0.103733277
136,0,0.109755175
137,0,0.105954785
138,-0.125,0.103759538
139,0,0.101968413
140,0,0.103107455
141,0.2,0.114666202
142,0.65,0.107928164
143,0,0.111915534
144,0,0.115860521
145,0,0.116237696
146,0,0.102084424
147,0,0.112871451
148,-0.15,0.110483205
149,0.475,0.109057651
150,0,0.110080977
151,0,0.113198655
152,0,0.11023308
153,0.3,0.112479263
154,0.35,0.117877261
155,0.136363636,0.112092996
156,0.3,0.107896112
157,0.136363636,0.106883439
158,0.45,0.113542493
159,0.5,0.1051258
160,0,0.113702684
161,-0.75,0.106472913
162,0,0.107928164
163,0.1,0.107182493
164,-0.3,0.108299149
165,0,0.127802496
166,0.5,0.114165298
167,0.5,0.118924095
168,0,0.104886112
169,0.25,0.111685465
170,0.466666667,0.110760149
171,0,0.115045703
172,0,0.104590754
173,0,0.113999882
174,0.6,0.104036329
175,0,0.106560109
176,0,0.109472468
177,0,0.113153311
178,0.5,0.104002811
179,-0.44375,0.111892954
180,0,0.113294567
181,0.208333333,0.10076016
182,-0.054166667,0.116141807
183,0,0.108182544
184,0.170454545,0.110010241
185,-0.5,0.113318872
186,0.268181818,0.108066525
187,0,0.106468254
188,0,0.103557556
189,-0.166666667,0.107024038
190,-0.125,0.102976011
191,0,0.115614825
192,0,0.104250796
193,0,0.112310833
194,0,0.111234344
195,0.625,0.112848618
196,0,0.118459776
197,0.05,0.109650897
198,0.461904762,0.103642801
199,-0.5,0.112755297
200,0,0.109627572
201,0,0.105478443
202,0,0.110846437
203,0,0.11555192
204,0.175,0.111801122
205,-0.4,0.110984178
206,-0.5,0.101875947
207,-1,0.115546915
208,0.8,0.104723645
209,-0.2,0.112945188
210,0,0.10943286
211,0,0.103107455
212,0,0.101965042
213,0,0.107282533
214,0,0.115070687
215,-0.125,0.11329588
216,0,0.104832151
217,0,0.117986791
218,0,0.114547066
219,-0.3125,0.10443579
220,0.5,0.107644067
221,0.40625,0.117098633
222,0.6,0.09568682
223,1,0.108703417
224,0,0.099821174
225,0,0.112404102
226,0.418181818,0.103298574
227,0.4,0.108659684
228,0.35,0.106175644
229,1,0.108174889
230,0,0.134588355
231,-0.4875,0.116061433
232,0.8,0.114328818
233,-0.375,0.111381797
234,0.25,0.105365515
235,0.78125,0.113312235
236,0,0.114161966
237,-0.388888889,0.104858824
238,0.5,0.111880802
239,-0.25,0.118881991
240,0,0.115809936
241,0.441666667,0.11180113
242,0.35,0.110794976
243,0,0.109477353
244,0,0.108887096
245,0.1,0.110659704
246,0,0.113228026
247,0,0.114790192
248,0.6,0.10705736
249,-0.7,0.109057651
250,0.016666667,0.106394545
251,-0.714285714,0.117005405
252,0,0.102999083
253,0,0.109081164
254,0.136363636,0.110760282
255,0.4,0.114219521
256,0.875,0.119971567
257,0,0.109634738
258,0,0.113151229
259,0,0.11121449
260,0,0.111740201
261,0,0.109045164
262,-0.383333333,0.118816296
263,0,0.114729718
264,-0.25,0.104141747
265,0,0.112390489
266,0.5,0.112209027
267,-0.066666667,0.108231074
268,1,0.108932132
269,-0.05,0.120332543
270,0.15,0.108805825
271,0,0.106560109
272,0,0.113451497
273,-0.4,0.109875859
274,0.5,0.112086954
275,0,0.111584032
276,0.214285714,0.108003231
277,0,0.110807504
278,0.5,0.10803086
279,0,0.123617527
280,-0.46875,0.107300342
281,0,0.108850755
282,0.2,0.109045164
283,0.6,0.102098704
284,0.475,0.112918854
285,-0.125,0.113220889
286,0,0.105687903
287,0,0.106263555
288,0.45,0.10520037
289,0,0.114257677
290,0,0.106175644
291,0,0.107644067
292,0,0.113488815
293,0,0.115722421
294,1,0.106229591
295,0.3,0.111333479
296,0.5,0.112246314
297,0.037037037,0.109701651
298,0.107142857,0.117129127
299,0,0.115615666
300,0,0.115822879
301,0.25,0.105911823
302,-0.066666667,0.113634241
303,-0.4,0.120135151
304,0,0.11544845
305,0.525,0.11364636
306,0,0.109648125
307,0.020833333,0.109045164
308,0.136363636,0.119227749
309,0.178571429,0.115533008
310,0,0.104108227
311,0.420833333,0.112154216
312,0,0.109081164
313,0.3875,0.110666956
314,0,0.119231518
315,0.447916667,0.107654589
316,0,0.104917139
317,-0.5,0.109617673
318,-1,0.105646021
319,-0.625,0.115365132
320,0.4,0.112884683
321,0.2,0.10898863
322,0,0.115724655
323,0,0.110581214
324,0,0.113357151
325,0,0.110114137
326,0.05,0.107984225
327,0,0.111691242
328,-1,0.114776069
329,0,0.111381797
330,0,0.108488005
331,-0.4,0.119227319
332,0,0.103715182
333,0.5,0.11798516
334,0,0.105523493
335,0.136363636,0.111399155
336,0.35,0.108473045
337,0.3,0.111381512
338,0,0.109984438
339,0,0.120614753
340,0.266666667,0.114244983
341,0,0.114340565
342,0,0.10138964
343,0,0.111261916
344,0.2,0.111960299
345,0,0.107654589
346,0,0.111685741
347,0.375,0.109624428
348,0,0.116970916
349,0,0.106175644
350,0,0.113567493
351,-0.3,0.116964224
352,0.8,0.112022748
353,0.3125,0.106258013
354,-0.4,0.115652245
355,0.5,0.113080654
356,0,0.119227319
357,-0.077777778,0.121210342
358,0,0.106514205
359,0,0.106682775
360,0,0.103744891
361,0,0.103237346
362,0.5,0.107182493
363,0,0.114854296
364,0,0.111497697
365,0.5,0.10656442
366,0,0.101555319
367,0.7,0.114824133
368,0.03968254,0.097860453
369,0.5,0.107600564
370,0,0.106626737
371,-0.7,0.113600916
372,0.370833333,0.110565992
373,0,0.112218632
374,-0.1,0.116617791
375,-0.125,0.119386577
376,0.136363636,0.112747148
377,0,0.108608437
378,0.170454545,0.115236417
379,1,0.121898021
380,0,0.111392069
381,0,0.116359522
382,0,0.11629373
383,0,0.106894516
384,0,0.105948439
385,0.4,0.116336773
386,0,0.114032168
387,-0.2,0.111304103
388,-0.208333333,0.116442203
389,0.2,0.116182517
390,0,0.107214118
391,0,0.115149403
392,0,0.111621347
393,0.8,0.109550378
394,0,0.109375649
395,0,0.108628141
396,0.1,0.109556019
397,0,0.104326683
398,-0.083333333,0.117728403
399,0.1,0.108313267
400,0.066666667,0.109448353
401,0,0.114048225
402,-0.15,0.105812711
403,0,0.103135454
404,-0.15,0.105435162
405,0,0.110890415
406,0,0.113189877
407,0,0.109853381
408,0,0.11681014
409,0.002222222,0.111542498
410,0,0.113318228
411,0,0.119010752
412,0,0.108775533
413,0.325,0.099821174
414,0,0.106871885
415,0,0.117253351
416,0,0.115366681
417,0.8,0.115432995
418,0,0.105379139
419,0,0.099876956
420,0,0.110668615
421,0.5,0.105946748
422,0,0.107365674
423,0,0.110726679
424,-0.155555556,0.112277489
425,0,0.114897135
426,0,0.11527466
427,0.65,0.124365197
428,0.25,0.111938936
429,-0.4,0.112871451
430,-0.4625,0.111801122
431,0,0.112607592
432,-0.5,0.101210908
433,0.488888889,0.110375154
434,0,0.108591829
435,0.18,0.10610364
436,0.077777778,0.107724467
437,0,0.104697012
438,0.25,0.111542498
439,-0.1,0.10610364
440,0,0.107510608
441,0.05,0.116884352
442,0,0.109556019
443,1,0.112493898
444,0,0.115999907
445,0.333333333,0.116450815
446,0.125,0.114207112
447,0,0.105742715
448,0.172222222,0.104583625
449,0,0.120604945
450,0,0.113520588
451,-0.1,0.104346014
452,0.333333333,0.126279163
453,0.142857143,0.114574656
454,0,0.114169931
455,0.083333333,0.116379463
456,0,0.111257169
457,0.5,0.115767883
458,0,0.109754131
459,0.4,0.106555555
460,0,0.109556019
461,0.3875,0.111236886
462,0,0.1117486
463,0.136363636,0.115864716
464,0,0.115332344
465,0,0.101635298
466,0,0.118645475
467,0,0.111520898
468,-0.3,0.107604765
469,0,0.115854331
470,0.075,0.10733519
471,0,0.119662696
472,-0.75,0.10733519
473,0,0.097092562
474,-0.1,0.114663688
475,0.168181818,0.111347865
476,0.05,0.111486193
477,0.458333333,0.110494805
478,-0.05,0.104949154
479,0,0.108790406
480,0,0.105793657
481,-0.3,0.114557054
482,0,0.114888044
483,0.2,0.110584135
484,0.033333333,0.109398038
485,0.2,0.106257406
486,0,0.110807504
487,0,0.113642307
488,-0.0625,0.110895311
489,0,0.11544845
490,0,0.116229332
491,0,0.108174889
492,0,0.107142375
493,0.625,0.108456759
494,0.2,0.117847222
495,-0.291666667,0.110794425
496,0.8,0.114855165
497,0.5,0.111795597
498,-0.1,0.118817993
499,0,0.111205243
500,0,0.110951322
501,-0.177083333,0.11904535
502,-0.25,0.109223161
503,1,0.107200836
504,0,0.113368687
505,0.44,0.111810318
506,0.137037037,0.110024245
507,0,0.115603101
508,0,0.111540752
509,0,0.109399778
510,0,0.109745602
511,0.016666667,0.11167795
512,0,0.102211281
513,0.175,0.101750293
514,0,0.112299779
515,0,0.112140289
516,0,0.10863447
517,0.15,0.114504967
518,0,0.102976011
519,-0.208333333,0.104697012
520,-0.3,0.116397525
521,0,0.113654606
522,0,0.116049014
523,0.25,0.116855847
524,0,0.0996642
525,0,0.115068082
526,0.25,0.114261906
527,0,0.11316811
528,-0.2,0.105934091
529,0,0.122100844
530,0.5,0.102490872
531,-0.194444444,0.108314018
532,-0.2,0.113764112
533,0,0.104146104
534,-0.1,0.115399643
535,0,0.11318068
536,0,0.111693862
537,0,0.110755943
538,-0.159722222,0.105512169
539,0.591666667,0.109118321
540,-1,0.114946
541,0,0.115924022
542,0,0.110657511
543,0,0.099038874
544,0,0.108456759
545,-0.8,0.118713366
546,1,0.120490494
547,0,0.106729237
548,0.146666667,0.106467602
549,0,0.099691394
550,0.014814815,0.106791984
551,-0.125,0.115166872
552,0.3125,0.123617527
553,-0.1,0.113621947
554,0,0.107929763
555,0.25,0.107794518
556,0.35,0.107394757
557,0.033333333,0.10993898
558,-0.01,0.120913784
559,0.7,0.115722726
560,0,0.11904535
561,0.516666667,0.103040654
562,-0.155555556,0.113685927
563,0,0.107489177
564,0,0.104463781
565,1,0.10733519
566,0.01875,0.122628997
567,0,0.106894516
568,-0.1,0.107510608
569,0,0.114854296
570,-0.25,0.102627441
571,0,0.105472762
572,-0.233333333,0.117847222
573,0.136363636,0.109862302
574,0.5,0.113289696
575,-0.080654762,0.113463069
576,0.8,0.110473145
577,0,0.110625445
578,0,0.112972272
579,0.108333333,0.111880802
580,0,0.112972272
581,0,0.112697503
582,0,0.104669458
583,0.25,0.116359522
584,0.106534091,0.113260011
585,0,0.101195687
586,0,0.122809715
587,0,0.119231518
588,0,0.09870507
589,0.85,0.102469041
590,0,0.105786055
591,0.078787879,0.119076792
592,0.04375,0.11186532
593,-0.1,0.108973881
594,1,0.119956252
595,0.266666667,0.119121979
596,0,0.101968413
597,0,0.117078848
598,0.014814815,0.110813277
599,0,0.107383635
600,0,0.112154514
601,0.045833333,0.113131797
602,0,0.115906406
603,0.225,0.117253351
604,-0.3,0.113708672
605,0.5,0.102083624
606,0,0.103558626
607,0,0.11539131
608,0,0.115373065
609,-0.230769231,0.113241705
610,0.5,0.102875042
611,0.2,0.111236886
612,0.136363636,0.110483205
613,0.3,0.108336316
614,-0.325,0.116471939
615,0,0.116845033
616,0.5,0.114242993
617,0,0.117544211
618,0,0.107873977
619,0.5,0.102518815
620,0,0.115572314
621,0.166666667,0.112175172
622,0,0.119713333
623,0.3,0.112120389
624,0,0.119718602
625,0.8,0.107652411
626,1,0.107893681
627,-0.75,0.108629046
628,0.4375,0.108174889
629,-0.1,0.110699186
630,0,0.117032364
631,0.2,0.105967018
632,0,0.113488815
633,0.4,0.112689543
634,0,0.105090812
635,0,0.103744891
636,0.5,0.114846547
637,0,0.112677078
638,0,0.110550693
639,-0.7,0.114790192
640,0,0.103862828
641,0,0.111545578
642,0.195833333,0.104990968
643,0.35,0.109744762
644,-0.125,0.101380218
645,-0.7,0.111040837
646,0,0.106829855
647,0,0.113770244
648,0.625,0.111788653
649,0,0.114352988
650,-0.8,0.113979884
651,0,0.111569378
652,0.033333333,0.122100844
653,0.5,0.108668379
654,-0.1,0.114190875
655,-0.15,0.108860748
656,0.433333333,0.111116937
657,0,0.10580721
658,0.6,0.105425985
659,0.166666667,0.114824133
660,0.333333333,0.107841713
661,0.25,0.112733007
662,0,0.105305194
663,0,0.107300342
664,0,0.105478443
665,0.5,0.119096554
666,0.2,0.115572314
667,0.4375,0.101380218
668,-0.15625,0.117070625
669,0,0.117007008
670,0.25,0.105119853
671,0.3,0.113102747
672,0.8,0.104620825
673,0,0.114422934
674,0,0.103396196
675,0.25,0.104447507
676,0.208928571,0.116717331
677,0,0.112125729
678,0,0.11764743
679,0,0.109431762
680,0,0.101212667
681,0,0.112597242
682,0.225,0.113888719
683,0,0.111148925
684,-0.033333333,0.105008263
685,0.25,0.106177782
686,0,0.109045164
687,0,0.100584632
688,0.433333333,0.112959348
689,0,0.115767883
690,0.5,0.112492919
691,0.3,0.119493776
692,-0.29375,0.113404406
693,0.3,0.111743622
694,0,0.106729237
695,-0.125,0.118881991
696,0.325,0.112637277
697,-0.7,0.115603101
698,0.5,0.101584311
699,-0.2,0.113754315
700,1,0.105762495
701,0,0.103986818
702,0,0.112959348
703,0.25,0.116417357
704,0.52,0.115360928
705,0,0.117417734
706,0.25,0.114354877
707,0,0.111785202
708,0,0.108540221
709,-0.2,0.106553399
710,-0.04375,0.107600564
711,0,0.103114564
712,0,0.110654299
713,0,0.114624628
714,0.018181818,0.112120389
715,0,0.106610995
716,0,0.109725732
717,0,0.109095388
718,0.05,0.114025049
719,0,0.110863677
720,0,0.108349309
721,-0.6,0.120844811
722,0.45,0.111977712
723,0,0.108838535
724,0.178571429,0.112884683
725,0.125,0.114894258
726,0.25,0.113708672
727,0.242857143,0.107604765
728,0,0.114507564
729,0.2,0.110029847
730,0.625,0.10509246
731,0.070833333,0.107923871
732,0,0.114261906
733,0.1,0.108925039
734,0,0.113560353
735,0.136363636,0.110167224
736,0.033333333,0.107622813
737,0.136363636,0.109408764
738,0,0.108286612
739,0.4,0.115713845
740,0.5,0.105013939
741,0.312121212,0.114898541
742,0.2,0.107910865
743,0,0.115332344
744,0.640625,0.110020779
745,0,0.108973849
746,0,0.110747916
747,0,0.101157324
748,0.375,0.117246755
749,0.15,0.111457502
750,0,0.109120014
751,-0.195833333,0.116253171
752,0,0.112057683
753,0,0.112723549
754,0,0.109185377
755,0.5,0.108781269
756,0.5,0.10118159
757,0.625,0.109132547
758,0,0.103151209
759,-0.066666667,0.100030111
760,-0.505175781,0.111422172
761,0,0.113499575
762,0,0.110947492
763,0,0.112829255
764,0,0.114676838
765,0.2,0.114165298
766,-0.275,0.111557781
767,0.375,0.104592103
768,0,0.102345129
769,-0.5,0.107556236
770,0.6,0.111189709
771,0.28125,0.11587412
772,0.2,0.112069582
773,-0.75,0.113713562
774,0.75,0.105635412
775,0,0.116485818
776,0,0.110947492
777,0,0.110166319
778,-0.7,0.109637522
779,0.285714286,0.108488005
780,0,0.110247778
781,0,0.11295443
782,-0.2,0.10694975
783,0,0.113160154
784,0,0.111896948
785,1,0.114352988
786,0,0.116061433
787,-0.031818182,0.109091381
788,0,0.110612751
789,-0.133333333,0.107294345
790,0,0.116945689
791,0,0.112477123
792,-0.066666667,0.103366644
793,0,0.11893565
794,0,0.109839248
795,0,0.117674088
796,0,0.117417734
797,0.45,0.113442383
798,0.6,0.113872343
799,0,0.114205292
800,0.377083333,0.104864222
801,0.375,0.109646737
802,0,0.110494805
803,0,0.112417991
804,0,0.102794659
805,-0.4,0.109659
806,0,0.109538493
807,0.416148793,0.115803526
808,0.25,0.114720623
809,0.366666667,0.111482412
810,0.125,0.111227433
811,-0.166666667,0.104357698
812,0,0.107254228
813,0,0.104131098
814,0.5,0.105407752
815,0,0.101635298
816,0,0.103987135
817,0.243181818,0.117847222
818,0.8,0.10904414
819,-0.2125,0.108113439
820,0.142857143,0.108554596
821,0.136363636,0.115919606
822,0,0.106894516
823,0,0.119108347
824,0.1875,0.110689596
825,0.2,0.115960767
826,0.25,0.101376491
827,0,0.114697392
828,-0.1875,0.112487895
829,-0.008333333,0.109550378
830,0,0.104024964
831,0.3625,0.114930419
832,-0.24,0.10873543
833,0,0.127151585
834,0.8,0.107841713
835,0.5,0.114846547
836,0.25,0.110166319
837,0.45,0.111691242
838,-0.063333333,0.109617673
839,0.25,0.108048306
840,-0.034090909,0.109702348
841,1,0.107394757
842,0,0.106129345
843,0.433333333,0.111724342
844,0,0.110263468
845,-0.7,0.109617673
846,0,0.115651606
847,0.045454545,0.117544211
848,0.3,0.102886533
849,0.8,0.104576878
850,0,0.110788225
851,0,0.107588771
852,0.5,0.113080654
853,-0.8,0.113131797
854,0.25,0.10705736
855,0,0.117654752
856,0,0.112703234
857,0,0.099105894
858,1,0.101898159
859,0,0.117178911
860,-0.083333333,0.108647725
861,0.125,0.112154514
862,0.26547619,0.111978755
863,0.5,0.11364568
864,0,0.106540867
865,0.2,0.120991667
866,0,0.117007008
867,0,0.11176175
868,0,0.104463781
869,0.3,0.112581465
870,1,0.111646395
871,-0.07,0.110908326
872,0,0.107650236
873,0,0.110898937
874,0.75,0.108904569
875,0,0.113944215
876,0,0.114860138
877,0.25,0.106630883
878,0.5,0.108174889
879,0,0.127802496
880,0,0.112150029
881,0.6,0.10077443
882,0.166666667,0.117803817
883,-0.161111111,0.103698857
884,0.2625,0.109044536
885,0.266666667,0.108932132
886,-0.186772487,0.115981205
887,0.7,0.114161966
888,-1,0.115111408
889,0,0.1117486
890,0,0.105993167
891,-0.166666667,0.112444438
892,0,0.113903049
893,0.032142857,0.105090812
894,0,0.117417734
895,0.8,0.122628997
896,0,0.110357101
897,-0.7,0.106564499
898,0,0.119969476
899,0.170454545,0.109956619
900,0,0.103558626
901,0,0.12150963
902,0,0.103268964
903,0.3,0.112015767
904,0.8,0.102089903
905,0,0.110495036
906,0.35,0.109325498
907,0.136363636,0.111386898
908,-1,0.109875859
909,0,0.108984171
910,0,0.113510214
911,0,0.111349069
912,1,0.113353676
913,0.5,0.117464971
914,0,0.117353423
915,0.5,0.110269314
916,0.5,0.109038766
917,0.09375,0.112512952
918,0.08,0.115358331
919,0,0.108647725
920,0,0.11107719
921,0.166666667,0.110319584
922,0,0.114574656
923,1,0.10905792
924,-0.4,0.107254228
925,0.625,0.107354417
926,0,0.124322257
927,0,0.123345485
928,0,0.112629611
929,0.321875,0.109637522
930,0.375,0.105961051
931,0,0.111211857
932,0,0.109443118
933,1,0.104442916
934,0.541666667,0.107644067
935,-0.05,0.108811739
936,0,0.107765945
937,-0.7,0.113657023
938,0,0.10882949
939,0,0.114006058
940,0.9,0.116546894
941,0,0.113801515
942,0,0.115754143
943,0,0.112928932
944,0,0.115273355
945,0,0.112079305
946,0,0.112467181
947,0.016666667,0.117184122
948,1,0.11554652
949,0.28125,0.107923871
950,0.6,0.111492793
951,0,0.111523774
952,0.125,0.12097474
953,0.133333333,0.115477383
954,0.25,0.111668033
955,0,0.108066525
956,0,0.110374695
957,1,0.116331027
958,0.5,0.110625445
959,0,0.114137843
960,0,0.118459776
961,0,0.110272467
962,0.193181818,0.111382537
963,-0.25,0.1051258
964,0,0.119656487
965,0,0.104917139
966,0.5125,0.102204309
967,0,0.107310688
968,0,0.113213402
969,0,0.114995401
970,0.318181818,0.11071492
971,0.2,0.114701798
972,0,0.111728368
973,0.095833333,0.102093947
974,0.25,0.107881455
975,0.375,0.118233167
976,1,0.112396459
977,0,0.111449569
978,0.525,0.109291535
979,0,0.111540752
980,-0.3,0.107873296
981,-0.4,0.10257131
982,0,0.108231074
983,0,0.112677078
984,0.175,0.108979497
985,0,0.111126036
986,0,0.107489177
987,0.201262626,0.106374438
988,0.4375,0.108468624
989,-0.7,0.109757583
990,0.5,0.107148796
991,0,0.102232874
992,0.5,0.110432779
993,0,0.113945488
994,-0.033333333,0.112023845
995,0,0.106290709
996,0,0.110268441
997,0.5,0.112322436
998,0,0.105379139
999,0,0.1002706
1000,0.3,0.118233167
1001,0.166666667,0.113642307
1002,0,0.11025038
1003,0,0.115270427
1004,-0.658333333,0.112829255
1005,0.166666667,0.10982096
1006,0.311111111,0.106765204
1007,0,0.109057651
1008,-0.083333333,0.115638315
1009,-0.125,0.104851059
1010,-0.170833333,0.111691242
1011,-0.166193182,0.113651108
1012,0,0.112937344
1013,0.25,0.112022748
1014,0.8,0.105946748
1015,-0.083333333,0.107098664
1016,0.25,0.108585141
1017,-0.277777778,0.107873977
1018,0,0.113692831
1019,0.05,0.104630949
1020,0.136363636,0.107489177
1021,-0.15,0.113453045
1022,0,0.102089149
1023,0.166666667,0.106484568
1024,0.166666667,0.1092491
1025,0.5,0.111430229
1026,0.136363636,0.104447507
1027,0.068181818,0.109745602
1028,0,0.102573261
1029,0.3,0.110776703
1030,0,0.110589496
1031,0.483333333,0.110103855
1032,0.285714286,0.104024964
1033,-0.1,0.104250796
1034,0.158333333,0.118159452
1035,0,0.112079305
1036,0,0.11184955
1037,0,0.106263555
1038,0.45,0.111333479
1039,-0.4,0.116912575
1040,0.207272727,0.102989305
1041,0.35,0.105234105
1042,0.241071429,0.10905792
1043,0.375,0.114469146
1044,0,0.110183756
1045,0.05,0.119108347
1046,0,0.110630772
1047,0.25,0.114093785
1048,0.1,0.114824133
1049,0.25,0.108182544
1050,1,0.103220345
1051,0.5,0.111504126
1052,0.25,0.106553399
1053,0,0.111916017
1054,0.2125,0.111712982
1055,0,0.117829941
1056,0.5,0.109518842
1057,1,0.108992862
1058,0.136363636,0.113567493
1059,0,0.111795597
1060,0,0.114242993
1061,0.053333333,0.109185377
1062,0,0.105909351
1063,0.6,0.112707858
1064,0.166666667,0.10978041
1065,0,0.119076792
1066,0.3125,0.112487895
1067,0,0.105954785
1068,0,0.108066525
1069,0.136363636,0.11299402
1070,0.5,0.114697392
1071,0.2,0.109132818
1072,0,0.110495036
1073,0,0.095938821
1074,-0.230769231,0.108488005
1075,0,0.109862302
1076,0,0.109894155
1077,-0.25,0.102719611
1078,0,0.114897135
1079,0,0.114645028
1080,0,0.104151661
1081,0.5,0.115438952
1082,-0.1875,0.115713845
1083,-0.15,0.108048306
1084,-0.1875,0.106560109
1085,0,0.112689543
1086,0.1,0.101530993
1087,0,0.106342551
1088,0.244444444,0.10605086
1089,0,0.118733795
